name,order,rank,slug,revenues_m,revenue_percent_change,profits_m,profits_percent_change,assets_m,total_shareholder_equity,profit_as_of_revenues,profits_as_of_assets,profit_as_a_of_shareholder_equity,industry,headquarters_state,market_value_m,ticker,year,employees,headquarters_city,gained_in_rank,dropped_in_rank,newcomer_to_the_fortune_500,profitable,founder_is_ceo,foreign_born_ceo,female_ceo,growth_in_jobs,sector,global_500,best_companies,world_s_most_admired_companies,change_the_world,fastest_growing_companies,change_in_rank_full_1000,change_in_rank_500_only,measure_up,measure_up_rank,state
Align Technology,699,699,/company/align-technology/,"$3,952.6",59.9%,$772,-56.5%,"$5,942.1",,,,,Medical Products and Equipment,AZ,"$34,354.8",ALGN,2022,"22,540",Tempe,,,no,yes,no,,no,yes,Health Care,no,no,,,,151,,,,
loanDepot,700,700,/company/loandepot/,"$3,943.2",-11.3%,$113.5,-94.4%,"$11,812.3",,,,,Diversified Financials,CA,"$1,290.3",LDI,2022,"11,307",Foothill Ranch,,,no,yes,no,,no,no,Financials,no,no,,,,-117,,,,
APi Group,701,701,/company/api-group/,"$3,940",9.8%,$47,,"$5,159",,,,,Engineering & Construction,MN,"$4,891.1",APG,2022,"13,300",New Brighton,,,no,yes,no,,no,yes,Engineering & Construction,no,no,,,,-45,,,,
American Water Works,702,702,/company/american-water-works/,"$3,930",4.1%,"$1,263",78.1%,"$26,075",,,,,Miscellaneous,NJ,"$30,085.5",AWK,2022,"6,400",Camden,,,no,yes,no,,yes,no,Energy,no,no,,,,-62,,,,
Matson,703,703,/company/matson/,"$3,925.3",64.7%,$927.4,380.3%,"$3,693.1",,,,,Shipping,HI,"$4,927.5",MATX,2022,"4,259",Honolulu,,,no,yes,no,,no,yes,Transportation,no,no,,,,163,,,,
Diebold Nixdorf,704,704,/company/diebold-nixdorf/,"$3,905.2",0.1%,$-78.8,,"$3,507.2",,,,,"Computers, Office Equipment",OH,$531.2,DBD,2022,"22,000",Hudson,,,no,no,no,,no,no,Technology,no,no,,,,-76,,,,
Marriott Vacations Worldwide,705,705,/company/marriott-vacations-worldwide/,"$3,890",34.8%,$49,,"$9,613",,,,,"Hotels, Casinos, Resorts",FL,"$6,620",VAC,2022,"20,300",Orlando,,,no,yes,no,,no,yes,"Hotels, Restaurants & Leisure",no,no,,,,64,,,,
Terex,706,706,/company/terex/,"$3,886.8",26.1%,$220.9,,"$2,863.5",,,,,Construction and Farm Machinery,CT,"$2,485.5",TEX,2022,"8,600",Norwalk,,,no,yes,no,,no,yes,Industrials,no,no,,,,29,,,,
Sally Beauty Holdings,707,707,/company/sally-beauty-holdings/,"$3,875",10.3%,$239.9,111.8%,"$2,847.1",,,,,Specialty Retailers: Other,TX,"$1,720.5",SBH,2022,"29,000",Denton,,,no,yes,no,,yes,no,Retailing,no,no,,,,-39,,,,
Enovis,708,708,/company/colfax/,"$3,854.3",25.5%,$71.7,68.1%,"$8,515.3",,,,,Industrial Machinery,DE,"$6,419.3",ENOV,2022,"16,200",Wilmington,,,no,yes,no,,no,yes,Industrials,no,no,,,,29,,,,
IAC,709,709,/company/iac/,"$3,845.1",26.2%,$597.5,121.5%,"$12,300.3",,,,,Internet Services and Retailing,NY,"$9,001.4",IAC,2022,"13,200",New York,,,no,yes,no,,no,yes,Technology,no,no,,,,31,,,,
Meritor,710,710,/company/meritor/,"$3,833",25.9%,$199,-18.8%,"$2,938",,,,,Motor Vehicles & Parts,MI,"$2,519.4",,2022,"9,600",Troy,,,no,yes,no,,no,yes,Motor Vehicles & Parts,no,no,,,,32,,,,
Ventas,711,711,/company/ventas/,"$3,828",0.9%,$49,-88.8%,"$24,717.8",,,,,Real Estate,IL,"$24,676.2",VTR,2022,434,Chicago,,,no,yes,no,,yes,no,Financials,no,no,,,,-77,,,,
GoDaddy,712,712,/company/godaddy/,"$3,815.7",15%,$242.3,,"$7,417.1",,,,,Internet Services and Retailing,AZ,"$14,018.7",GDDY,2022,"6,611",Tempe,,,no,yes,no,,no,no,Technology,no,no,,,,-15,,,,
Regal Rexnord,713,713,/company/regal-beloit/,"$3,810.3",31.1%,$209.9,10.9%,"$10,281.6",,,,,"Electronics, Electrical Equip.",WI,"$10,002.1",RRX,2022,"30,000",Beloit,,,no,yes,no,,no,yes,Industrials,no,no,,,,50,,,,
Puget Energy,714,714,/company/puget-energy/,"$3,805.7",14.4%,$260.8,42.8%,"$15,871.9",,,,,Utilities: Gas and Electric,WA,,,2022,"3,185",Bellevue,,,no,yes,no,,yes,yes,Energy,no,no,,,,-19,,,,
Clean Harbors,715,715,/company/clean-harbors/,"$3,805.6",21%,$203.2,50.7%,"$5,653.7",,,,,Waste Management,MA,"$6,073.8",CLH,2022,"18,300",Norwell,,,no,yes,yes,,no,yes,Business Services,no,no,,,,6,,,,
Pinnacle West Capital,716,716,/company/pinnacle-west-capital/,"$3,803.8",6%,$618.7,12.4%,"$22,003.2",,,,,Utilities: Gas and Electric,AZ,"$8,820",PNW,2022,"5,872",Phoenix,,,no,yes,no,,no,no,Energy,no,no,,,,-59,,,,
eXp World Holdings,717,717,/company/exp-world-holdings/,"$3,771.2",109.7%,$81.2,160.9%,$413.8,,,,,Real Estate,WA,"$3,149.3",EXPI,2022,"1,669",Bellingham,,,no,yes,yes,,no,yes,Financials,no,no,,,,,,,,
Mueller Industries,718,718,/company/mueller-industries/,"$3,769.3",57.2%,$468.5,235.9%,"$1,728.9",,,,,Industrial Machinery,TN,"$3,100.4",MLI,2022,"5,337",Collierville,,,no,yes,no,,no,yes,Industrials,no,no,,,,143,,,,
Wynn Resorts,719,719,/company/wynn-resorts/,"$3,763.7",79.6%,$-755.8,,"$12,530.8",,,,,"Hotels, Casinos, Resorts",NV,"$9,243.3",WYNN,2022,"26,950",Las Vegas,,,no,no,no,,no,no,"Hotels, Restaurants & Leisure",no,no,,,,221,,,,
RH,720,720,/company/rh/,"$3,758.8",32%,$688.5,153.3%,"$5,540.5",,,,,Specialty Retailers: Other,CA,"$7,079",RH,2022,"6,100",Corte Madera,,,no,yes,no,,no,yes,Retailing,no,no,,,,57,,,,
EPAM Systems,721,721,/company/epam-systems/,"$3,758.1",41.3%,$481.7,47.2%,"$3,523.2",,,,,Information Technology Services,PA,"$16,870.7",EPAM,2022,"58,824",Newtown,,,no,yes,yes,,no,yes,Technology,no,no,,,,87,,,,
M/I Homes,722,722,/company/mi-homes/,"$3,745.9",23%,$396.9,65.4%,"$3,239.9",,,,,Homebuilders,OH,"$1,262.2",MHO,2022,"1,657",Columbus,,,no,yes,no,,no,yes,Engineering & Construction,no,no,,,,19,,,,
Generac Holdings,723,723,/company/generac-holdings/,"$3,737.2",50.4%,$550.5,57%,"$4,877.8",,,,,Industrial Machinery,WI,"$18,960.3",GNRC,2022,"9,248",Waukesha,,,no,yes,no,,no,yes,Industrials,no,no,,,,122,,,,
Mettler-Toledo International,724,724,/company/mettler-toledo-international/,"$3,717.9",20.5%,$769,27.6%,"$3,326.8",,,,,"Scientific, Photographic and Control Equipment",OH,"$31,220.3",MTD,2022,"16,700",Columbus,,,no,yes,no,,no,yes,Technology,no,no,,,,10,,,,
Abercrombie & Fitch,725,725,/company/abercrombie-fitch/,"$3,712.8",18.8%,$263,,"$2,939.5",,,,,Specialty Retailers: Apparel,OH,"$1,619.5",ANF,2022,"19,250",New Albany,,,no,yes,no,,yes,no,Retailing,no,no,,,,-1,,,,
Teradyne,726,726,/company/teradyne/,"$3,702.9",18.6%,"$1,014.6",29.4%,"$3,809.4",,,,,Semiconductors and Other Electronic Components,MA,"$19,202.6",TER,2022,"5,900",North Reading,,,no,yes,no,,no,yes,Technology,no,no,,,,,,,,
American National Group,727,727,/company/american-equity-investment-life-holding/,"$3,689.5",52.2%,$474,-29.4%,"$78,349.1",,,,,"Insurance: Life, Health (Stock)",IA,"$3,869.2",AEL,2022,850,West Des Moines,,,no,yes,no,,no,yes,Financials,no,no,,,,130,,,,
Southwest Gas Holdings,728,728,/company/southwest-gas-holdings/,"$3,680.5",11.6%,$200.8,-13.6%,"$12,765.3",,,,,Utilities: Gas and Electric,NV,"$5,233.6",SWX,2022,"12,720",Las Vegas,,,no,yes,no,,yes,yes,Energy,no,no,,,,-30,,,,
Pitney Bowes,729,729,/company/pitney-bowes/,"$3,673.6",3.4%,$-1.4,,"$4,958.9",,,,,"Computers, Office Equipment",CT,$900.1,PBI,2022,"11,500",Stamford,,,no,no,no,,no,no,Technology,no,no,,,,-65,,,,
Lamb Weston Holdings,730,730,/company/lamb-weston-holdings/,"$3,670.9",-3.2%,$317.8,-13.1%,"$4,209.4",,,,,Food Consumer Products,ID,"$8,699.1",LW,2022,"7,800",Eagle,,,no,yes,no,,no,yes,"Food, Beverages & Tobacco",no,no,,,,-95,,,,
Alliant Energy,731,731,/company/alliant-energy/,"$3,669",7.4%,$659,7.3%,"$18,553",,,,,Utilities: Gas and Electric,WI,"$15,670.6",LNT,2022,"3,313",Madison,,,no,yes,no,,no,no,Energy,no,no,,,,-51,,,,
Resolute Forest Products,732,732,/company/resolute-forest-products/,"$3,664",30.9%,$307,2970%,"$3,538",,,,,Forest and Paper Products,TN,$991.7,RFP,2022,"6,900",Calhoun,,,no,yes,no,,no,no,Materials,no,no,,,,51,,,,
Parsons,733,733,/company/parsons/,"$3,660.8",-6.6%,$64.1,-35%,"$3,830.9",,,,,Aerospace & Defense,VA,"$4,012",PSN,2022,"15,500",Centreville,,,no,yes,no,,yes,no,Aerospace & Defense,no,no,,,,-108,,,,
Trimble,734,734,/company/trimble/,"$3,659.1",16.2%,$492.7,26.4%,"$7,099.6",,,,,"Electronics, Electrical Equip.",CA,"$18,122.7",TRMB,2022,"11,931",Sunnyvale,,,no,yes,no,,no,yes,Technology,no,no,,,,-14,,,,
OGE Energy,735,735,/company/oge-energy/,"$3,653.7",72.2%,$737.3,,"$12,606.4",,,,,Utilities: Gas and Electric,OK,"$8,164.2",OGE,2022,"2,185",Oklahoma City,,,no,yes,no,,no,no,Energy,no,no,,,,198,,,,
Garrett Motion,736,736,/company/garrett-motion/,"$3,633",19.7%,,,"$2,706",,,,,Motor Vehicles & Parts,MI,$463.9,GTX,2022,"7,600",Plymouth,,,no,no,no,,no,yes,Motor Vehicles & Parts,no,no,,,,7,,,,
Winnebago Industries,737,737,/company/winnebago-industries/,"$3,629.8",54.1%,$281.9,358.8%,"$2,062.6",,,,,Motor Vehicles & Parts,MN,"$1,770.9",WGO,2022,"6,532",Eden Prairie,,,no,yes,no,,no,yes,Motor Vehicles & Parts,no,no,,,,140,,,,
Ciena,738,738,/company/ciena/,"$3,620.7",2.5%,$500.2,38.4%,"$4,865.2",,,,,Network and Other Communications Equipment,MD,"$9,223.4",CIEN,2022,"7,205",Hanover,,,no,yes,no,,no,yes,Technology,no,no,,,,-72,,,,
PriceSmart,739,739,/company/pricesmart/,"$3,619.9",8.7%,$98,25.4%,"$1,705.8",,,,,General Merchandisers,CA,"$2,434.1",PSMT,2022,"10,400",San Diego,,,no,yes,no,,yes,yes,Retailing,no,no,,,,-45,,,,
Advantage Solutions,740,740,/company/advantage-solutions/,"$3,602.3",14.2%,$54.5,,"$5,854.3",,,,,"Advertising, marketing",CA,"$2,029.6",ADV,2022,"45,000",Irvine,,,no,yes,no,,no,yes,Business Services,no,no,,,,-22,,,,
H&R Block Group,741,741,/company/hr-block/,"$3,588.6",35.9%,$683.9,,"$4,014.4",,,,,Diversified Financials,MO,"$4,284.6",HRB,2022,"38,000",Kansas City,,,no,yes,no,,no,no,Financials,no,no,,,,70,,,,
iHeartMedia,742,742,/company/iheartmedia/,"$3,558.3",20.7%,$-159.2,,"$8,881.3",,,,,Entertainment,TX,"$2,728.1",IHRT,2022,"9,990",San Antonio,,,no,no,no,,no,yes,Media,no,no,,,,11,,,,
Super Micro Computer,743,743,/company/super-micro-computer/,"$3,557.4",6.5%,$111.9,32.7%,"$2,242",,,,,"Computers, Office Equipment",CA,"$1,963",SMCI,2022,"4,155",San Jose,,,no,yes,yes,,no,yes,Technology,no,no,,,,-50,,,,
Flowserve,744,744,/company/flowserve/,"$3,541.1",-5%,$125.9,-3.4%,"$4,749.8",,,,,Industrial Machinery,TX,"$4,681.4",FLS,2022,"16,000",Irving,,,no,yes,no,,no,no,Industrials,no,no,,,,-101,,,,
Charles River Laboratories International,745,745,/company/charles-river-laboratories-intl/,"$3,540.2",21.1%,$391,7.3%,"$7,024.3",,,,,Health Care: Pharmacy and Other Services,MA,"$14,425.4",CRL,2022,"19,300",Wilmington,,,no,yes,no,,no,yes,Health Care,no,no,,,,15,,,,
A.O. Smith,746,746,/company/a-o-smith/,"$3,538.9",22.2%,$487.1,41.2%,"$3,474.4",,,,,"Electronics, Electrical Equip.",WI,"$10,032.2",AOS,2022,"13,700",Milwaukee,,,no,yes,no,,no,no,Industrials,no,no,,,,21,,,,
Rithm Capital,747,747,/company/new-residential-investment/,"$3,533.1",512.8%,$772.2,,"$39,742.2",,,,,Real Estate,NY,"$5,125",RITM,2022,"12,296",New York,,,no,yes,no,,no,yes,Financials,no,no,,,,,,,,
Medical Mutual of Ohio,748,748,/company/medical-mutual-of-ohio/,"$3,514.8",-0.3%,$78.3,-22%,"$2,646.4",,,,,"Insurance: Life, Health (Mutual)",OH,,,2022,"2,834",Cleveland,,,no,yes,no,,no,no,Financials,no,no,,,,-81,,,,
Granite Construction,749,749,/company/granite-construction/,"$3,501.9",-1.7%,$10.1,,"$2,494.9",,,,,Engineering & Construction,CA,"$1,504.7",GVA,2022,"2,600",Watsonville,,,no,yes,no,,no,no,Engineering & Construction,no,no,,,,-86,,,,
Valmont Industries,750,750,/company/valmont-industries/,"$3,501.6",20.9%,$195.6,39%,"$3,447.2",,,,,Metals,NE,"$5,083.4",VMI,2022,"11,041",Omaha,,,no,yes,no,,no,yes,Materials,no,no,,,,16,,,,
Sprague Resources,751,751,/company/sprague-resources/,"$3,498.2",49.8%,$-68.9,-303.8%,"$1,418.3",,,,,"Oil and Gas Equipment, Services",NH,$433.7,,2022,757,Portsmouth,,,no,no,no,,no,no,Energy,no,no,,,,135,,,,
Primoris Services,752,752,/company/primoris-services/,"$3,497.6",0.2%,$115.6,10.1%,"$2,543.3",,,,,Engineering & Construction,TX,"$1,269.8",PRIM,2022,"10,810",Dallas,,,no,yes,no,,no,yes,Engineering & Construction,no,no,,,,-79,,,,
Cboe Global Markets,753,753,/company/cboe-global-markets/,"$3,494.8",2%,$529,13%,"$6,814.5",,,,,Securities,IL,"$12,148.2",CBOE,2022,"1,196",Chicago,,,no,yes,no,,no,yes,Financials,no,no,,,,-74,,,,
Carter's,754,754,/company/carters/,"$3,486.4",15.3%,$339.7,209.7%,"$3,201.8",,,,,Apparel,GA,"$3,763.4",CRI,2022,"15,900",Atlanta,,,no,yes,no,,no,no,Apparel,no,no,,,,-9,,,,
TopBuild,755,755,/company/topbuild/,"$3,486.2",28.3%,$324,31.2%,"$4,258.5",,,,,Engineering & Construction,FL,"$5,987.1",BLD,2022,"13,006",Daytona Beach,,,no,yes,no,,no,yes,Engineering & Construction,no,no,,,,40,,,,
SiteOne Landscape Supply,756,756,/company/siteone-landscape-supply/,"$3,475.7",28.5%,$238.4,96.5%,"$2,116.1",,,,,Wholesalers: Diversified,GA,"$7,255.5",SITE,2022,"5,475",Roswell,,,no,yes,no,,no,yes,Wholesalers,no,no,,,,46,,,,
Texas Roadhouse,757,757,/company/texas-roadhouse/,"$3,463.9",44.4%,$245.3,684.8%,"$2,512",,,,,Food Services,KY,"$5,787.8",TXRH,2022,"73,300",Louisville,,,no,yes,no,,no,yes,"Hotels, Restaurants & Leisure",no,no,,,,103,,,,
Akamai Technologies,758,758,/company/akamai-technologies/,"$3,461.2",8.2%,$651.6,17%,"$8,138.7",,,,,Internet Services and Retailing,MA,"$19,210",AKAM,2022,"8,700",Cambridge,,,no,yes,yes,,no,yes,Technology,no,no,,,,-47,,,,
Acuity Brands,759,759,/company/acuity-brands/,"$3,461",4%,$306.3,23.4%,"$3,575.1",,,,,"Electronics, Electrical Equip.",GA,"$6,628.9",AYI,2022,"13,000",Atlanta,,,no,yes,no,,no,yes,Industrials,no,no,,,,-63,,,,
Brown Forman,760,759,/company/brown-forman/,"$3,461",2.9%,$903,9.2%,"$6,522",,,,,Beverages,KY,"$31,376.6","BFA, BFB, BF26, BF28",2022,"4,700",Louisville,,,no,yes,no,,no,no,"Food, Beverages & Tobacco",no,no,,,,-70,,,,
Navient,761,761,/company/navient/,"$3,454",-7.3%,$717,74%,"$80,605",,,,,Diversified Financials,DE,"$2,592.3",NAVI,2022,"5,263",Wilmington,,,no,yes,no,,no,no,Financials,no,no,,,,-117,,,,
Coterra Energy,762,762,/company/coterra-energy/,"$3,449",135.2%,"$1,158",477.5%,"$19,900",,,,,"Mining, Crude-Oil Production",TX,"$21,872.1",CTRA,2022,936,Houston,,,no,yes,no,,no,yes,Energy,no,no,,,,,,,,
Option Care Health,763,763,/company/option-care-health/,"$3,438.6",13.4%,$139.9,,"$2,790.9",,,,,Health Care: Pharmacy and Other Services,IL,"$5,139",OPCH,2022,"6,334",Bannockburn,,,no,yes,no,,no,yes,Health Care,no,no,,,,-19,,,,
Floor & Decor Holdings,764,764,/company/floor-decor-holdings/,"$3,433.5",41.5%,$283.2,45.3%,"$3,730.7",,,,,Specialty Retailers: Other,GA,"$8,573.8",FND,2022,"9,276",Atlanta,,,no,yes,no,,no,yes,Retailing,no,no,,,,92,,,,
Public Storage,765,765,/company/public-storage/,"$3,415.8",17.2%,"$1,953.3",43.9%,"$17,380.9",,,,,Real Estate,CA,"$68,438.2",PSA,2022,"5,800",Glendale,,,no,yes,no,,no,yes,Financials,no,no,,,,-3,,,,
Cabot,766,766,/company/cabot/,"$3,409",30.4%,$250,,"$3,306",,,,,Chemicals,MA,"$3,871.1",CBT,2022,"4,500",Boston,,,no,yes,no,,no,no,Chemicals,no,no,,,,47,,,,
Crane NXT,767,767,/company/crane/,"$3,408",16%,$435.4,140.6%,"$4,486.6",,,,,Industrial Machinery,CT,"$6,158.9",CXT,2022,"11,000",Stamford,,,no,yes,no,,no,no,Industrials,no,no,,,,-10,,,,
Atmos Energy,768,768,/company/atmos-energy/,"$3,407.5",20.8%,$665.6,10.7%,"$19,608.7",,,,,Utilities: Gas and Electric,TX,"$16,182.8",ATO,2022,"4,684",Dallas,,,no,yes,no,,no,no,Energy,no,no,,,,10,,,,
Selective Insurance Group,769,769,/company/selective-insurance-group/,"$3,379.2",15.6%,$403.8,63.9%,"$10,461.4",,,,,Insurance: Property and Casualty (Stock),NJ,"$5,391.5",SIGI,2022,"2,440",Branchville,,,no,yes,no,,no,yes,Financials,no,no,,,,-8,,,,
Take-Two Interactive Software,770,770,/company/take-two-interactive-software/,"$3,372.8",9.2%,$588.9,45.6%,"$6,028.2",,,,,Entertainment,NY,"$17,744.1",TTWO,2022,"6,495",New York,,,no,yes,no,,no,yes,Media,no,no,,,,-40,,,,
Boyd Gaming,771,771,/company/boyd-gaming/,"$3,369.8",54.7%,$463.8,,"$6,224.2",,,,,"Hotels, Casinos, Resorts",NV,"$7,234",BYD,2022,"15,114",Las Vegas,,,no,yes,no,,no,yes,"Hotels, Restaurants & Leisure",no,no,,,,145,,,,
Plexus,772,772,/company/plexus/,"$3,368.9",-0.6%,$138.9,18.2%,"$2,461.9",,,,,Semiconductors and Other Electronic Components,WI,"$2,298.6",PLXS,2022,"19,200",Neenah,,,no,yes,no,,no,no,Technology,no,no,,,,-87,,,,
ScanSource,773,773,/company/scansource/,"$3,364.2",-6.8%,$10.8,,"$1,671.7",,,,,Wholesalers: Electronics and Office Equipment,SC,$890.8,SCSC,2022,"2,200",Greenville,,,no,yes,yes,,no,no,Wholesalers,no,no,,,,-118,,,,
Franchise Group,774,774,/company/franchise-group/,"$3,362.7",56.2%,$363.8,1351.4%,"$3,913.2",,,,,Specialty Retailers: Other,OH,"$1,669.6",,2022,"11,895",Delaware,,,no,yes,no,,no,yes,Retailing,no,no,,,,150,,,,
NLV Financial,775,775,/company/nlv-financial/,"$3,350.8",30.2%,$392.1,102.5%,"$41,942.4",,,,,"Insurance: Life, Health (Stock)",VT,,,2022,"1,157",Montpelier,,,no,yes,no,,no,yes,Financials,no,no,,,,48,,,,
CrossAmerica Partners,776,776,/company/crossamerica-partners/,"$3,350.5",87.1%,$21.7,-79.8%,"$1,270.1",,,,,"Oil and Gas Equipment, Services",PA,$826.5,CAPL,2022,"2,218",Allentown,,,no,yes,no,,no,yes,Energy,no,no,,,,,,,,
Mr. Cooper Group,777,777,/company/mr-cooper-group/,"$3,344",22.4%,"$1,454",376.7%,"$14,204",,,,,Diversified Financials,TX,"$3,369.4",COOP,2022,"8,200",Coppell,,,no,yes,no,,no,no,Financials,no,no,,,,15,,,,
Fortinet,778,778,/company/fortinet/,"$3,342.2",28.8%,$606.8,24.2%,"$5,919.1",,,,,Computer Software,CA,"$54,957.1",FTNT,2022,"10,195",Sunnyvale,,,no,yes,yes,,no,yes,Technology,no,no,,,,38,,,,
Brinker International,779,779,/company/brinker-international/,"$3,337.8",8.4%,$131.6,439.3%,"$2,274.9",,,,,Food Services,TX,"$1,701.9",EAT,2022,"59,491",Dallas,,,no,yes,no,,no,no,"Hotels, Restaurants & Leisure",no,no,,,,-43,,,,
Albemarle,780,780,/company/albemarle/,"$3,328",6.4%,$123.7,-67.1%,"$10,974.1",,,,,Chemicals,NC,"$25,899.4",ALB,2022,"6,000",Charlotte,,,no,yes,no,,no,yes,Chemicals,no,no,,,,-57,,,,
Peabody Energy,781,781,/company/peabody-energy/,"$3,318.3",15.2%,$360.1,,"$4,949.8",,,,,"Mining, Crude-Oil Production",MO,"$3,391.5",BTU,2022,"4,900",St. Louis,,,no,yes,no,,no,yes,Energy,no,no,,,,-9,,,,
Light & Wonder,782,782,/company/scientific-games/,"$3,310",21.5%,$371,,"$7,883",,,,,"Hotels, Casinos, Resorts",NV,"$5,679.7",LNW,2022,"5,600",Las Vegas,,,no,yes,no,,no,no,"Hotels, Restaurants & Leisure",no,no,,,,12,,,,
Evercore,783,783,/company/evercore/,"$3,307.1",44.7%,$740.1,111.1%,"$3,802.7",,,,,Securities,NY,"$4,275.1",EVR,2022,"1,940",New York,,,no,yes,no,,no,yes,Financials,no,no,,,,116,,,,
Stewart Information Services,784,784,/company/stewart-information-services/,"$3,305.8",44.5%,$323.2,108.7%,"$2,813.4",,,,,Insurance: Property and Casualty (Stock),TX,"$1,635.1",STC,2022,"7,300",Houston,,,no,yes,no,,no,yes,Financials,no,no,,,,114,,,,
Central Garden & Pet,785,785,/company/central-garden-pet/,"$3,303.7",22.6%,$151.7,25.7%,"$3,116.7",,,,,Household and Personal Products,CA,"$2,286.5",CENT,2022,"6,750",Walnut Creek,,,no,yes,no,,no,yes,Household Products,no,no,,,,19,,,,
GMS,786,786,/company/gms/,"$3,298.8",1.8%,$105.6,351.5%,"$2,483.9",,,,,Wholesalers: Diversified,GA,"$2,142.1",GMS,2022,"5,843",Tucker,,,no,yes,no,,no,yes,Wholesalers,no,no,,,,-83,,,,
H.B. Fuller,787,787,/company/h-b-fuller/,"$3,278",17.5%,$161.4,30.5%,"$4,274.5",,,,,Chemicals,MN,"$3,505.2",FUL,2022,"6,500",St. Paul,,,no,yes,no,,yes,yes,Chemicals,no,no,,,,-1,,,,
Middleby,788,788,/company/middleby/,"$3,250.8",29.3%,$488.5,135.7%,"$6,383.6",,,,,Industrial Machinery,IL,"$8,961.1",MIDD,2022,"10,624",Elgin,,,no,yes,no,,no,yes,Industrials,no,no,,,,49,,,,
Renewable Energy Group,789,789,/company/renewable-energy-group/,"$3,244.1",51.8%,$213.8,74.1%,"$2,558.9",,,,,Petroleum Refining,IA,"$3,056.2",,2022,"1,196",Ames,,,no,yes,no,,yes,yes,Energy,no,no,,,,139,,,,
MSC Industrial Direct,790,790,/company/msc-industrial-direct/,"$3,243.2",1.6%,$216.9,-13.6%,"$2,462.1",,,,,Wholesalers: Diversified,NY,"$4,758.3",MSM,2022,"6,472",Melville,,,no,yes,no,,no,yes,Wholesalers,no,no,,,,-78,,,,
Vishay Intertechnology,791,791,/company/vishay-intertechnology/,"$3,240.5",29.5%,$298,142.4%,"$3,543.3",,,,,Semiconductors and Other Electronic Components,PA,"$2,840.1",VSH,2022,"22,800",Malvern,,,no,yes,no,,no,yes,Technology,no,no,,,,49,,,,
Applied Industrial Technologies,792,792,/company/applied-industrial-technologies/,"$3,235.9",-0.3%,$144.8,502.1%,"$2,271.8",,,,,Wholesalers: Diversified,OH,"$3,947.9",AIT,2022,"5,947",Cleveland,,,no,yes,no,,no,no,Wholesalers,no,no,,,,-91,,,,
Lincoln Electric Holdings,793,793,/company/lincoln-electric-holdings/,"$3,234.2",21.8%,$276.5,34.1%,"$2,592.3",,,,,Industrial Machinery,OH,"$8,079.1",LECO,2022,"11,000",Cleveland,,,no,yes,no,,no,yes,Industrials,no,no,,,,16,,,,
First Horizon,794,794,/company/first-horizon-national-corp/,"$3,234",-4.6%,$999,18.2%,"$89,092",,,,,Commercial Banks,TN,"$12,542.9",FHN,2022,"7,676",Memphis,,,no,yes,no,,no,no,Financials,no,no,,,,-108,,,,
Spirit Airlines,795,795,/company/spirit-airlines/,"$3,230.8",78.5%,$-472.6,,"$8,540",,,,,Airlines,FL,"$2,375.4",SAVEQ,2022,"9,823",Miramar,,,no,no,no,,no,yes,Transportation,no,no,,,,,,,,
AptarGroup,796,796,/company/aptargroup/,"$3,227.2",10.2%,$244.1,14%,"$4,141.4",,,,,"Packaging, Containers",IL,"$7,702.9",ATR,2022,"13,000",Crystal Lake,,,no,yes,no,,no,no,Materials,no,no,,,,-37,,,,
Citrix Systems,797,797,/company/citrix-systems/,"$3,217.2",-0.6%,$307.5,-39%,"$6,975.5",,,,,Computer Software,FL,"$12,704.6",CTXS,2022,"9,700",Fort Lauderdale,,,no,yes,no,,no,yes,Technology,no,no,,,,-90,,,,
IDEXX Laboratories,798,798,/company/idexx-laboratories/,"$3,215.4",18.8%,$744.8,28%,"$2,437.2",,,,,Medical Products and Equipment,ME,"$46,089.3",IDXX,2022,"10,350",Westbrook,,,no,yes,no,,no,yes,Health Care,no,no,,,,2,,,,
Tetra Tech,799,799,/company/tetra-tech/,"$3,213.5",7.3%,$232.8,33.9%,"$2,576.6",,,,,Engineering & Construction,CA,"$8,906.7",TTEK,2022,"21,000",Pasadena,,,no,yes,no,,no,yes,Engineering & Construction,no,no,,,,-51,,,,
Lyft,800,800,/company/lyft/,"$3,208.3",35.7%,"$-1,009.4",,"$4,773.9",,,,,Internet Services and Retailing,CA,"$13,384.6",LYFT,2022,"4,453",San Francisco,,,no,no,yes,,no,no,Technology,no,no,,,,75,,,,
Gannett,801,801,/company/gannett/,"$3,208.1",-5.8%,$-135,,"$2,828.1",,,,,"Publishing, Printing",VA,$643.9,GCI,2022,"16,300",McLean,,,no,no,no,,no,no,Media,no,no,,,,-118,,,,
ResMed,802,802,/company/resmed/,"$3,196.8",8.1%,$474.5,-23.7%,"$4,728.1",,,,,Medical Products and Equipment,CA,"$35,463.3",RMD,2022,"7,970",San Diego,,,no,yes,no,,no,yes,Health Care,no,no,,,,-51,,,,
Designer Brands,803,803,/company/dsw/,"$3,196.6",43%,$154.5,,"$2,014.6",,,,,Specialty Retailers: Apparel,OH,$991.4,DBI,2022,"13,500",Columbus,,,no,yes,no,,no,yes,Retailing,no,no,,,,104,,,,
Graham Holdings,804,804,/company/graham-holdings/,"$3,186",10.3%,$352.1,17.2%,"$7,425.5",,,,,Miscellaneous,VA,"$3,000.6",GHC,2022,"15,048",Arlington,,,no,yes,no,,no,yes,Business Services,no,no,,,,-36,,,,
